Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCZ42,OUT046,4001.442066
DRI47,OUT019,316.3583518
FDW40,OUT013,2158.889792
FDN34,OUT046,2962.60888
FDS01,OUT035,2943.278791
NCG55,OUT045,1731.63287
FDC11,OUT035,1295.853123
FDX35,OUT018,2679.860749
NCB06,OUT046,2638.32563
FDR09,OUT019,566.4183232
FDC53,OUT017,1486.740359
FDY45,OUT013,4281.345271
FDA22,OUT010,344.4695733
FDE02,OUT035,1416.540271
FDW21,OUT045,1616.233037
FDV34,OUT046,1310.257856
FDS59,OUT049,1903.109947
NCW17,OUT017,2029.426421
NCK54,OUT046,1905.942341
FDG17,OUT019,752.2194911
FDG35,OUT017,3038.916922
FDD08,OUT010,87.46847946
NCO07,OUT017,3940.079486
FDJ10,OUT010,293.2012403
FDW36,OUT017,1586.505625
FDW21,OUT010,248.6988702
FDY19,OUT017,1829.654498
DRE03,OUT013,737.0473391
NCC55,OUT049,712.3885353
FDH52,OUT010,112.3489043
FDO09,OUT017,4369.499589
FDU43,OUT045,3830.745192
FDX09,OUT010,371.2142657
FDH40,OUT019,241.7857683
FDW58,OUT017,1607.381951
FDC47,OUT017,4378.739322
NCR41,OUT035,1445.713105
DRG49,OUT035,4134.060001
FDC52,OUT027,3791.853275
FDY13,OUT046,1218.864058
FDY35,OUT013,738.6218843
FDI35,OUT017,3121.824908
NCU18,OUT049,2309.519278
FDY33,OUT018,2361.903189
FDC15,OUT027,4037.491257
FDU01,OUT049,3169.721004
NCU42,OUT046,2895.961888
NCV29,OUT018,2544.675146
NCY30,OUT017,3167.720251
FDQ46,OUT049,1843.677003
FDG58,OUT027,3747.264617
FDK33,OUT017,3988.370284
NCD07,OUT045,1731.103942
NCX29,OUT027,3578.538632
NCT42,OUT013,2335.831976
DRN59,OUT035,711.9669859
FDI44,OUT035,1201.910713
FDA45,OUT049,2765.389942
FDP31,OUT045,901.7443296
FDY01,OUT046,1861.234729
FDT09,OUT018,2020.272546
DRH03,OUT027,2587.268585
FDA36,OUT018,2659.336002
NCF31,OUT017,2421.371896
FDG14,OUT049,2534.475657
FDG28,OUT027,6184.060936
FDU14,OUT049,4022.29767
FDY47,OUT019,331.3796462
FDI56,OUT049,1484.0461
DRD01,OUT013,832.4356347
FDM22,OUT046,863.6295328
FDH33,OUT013,668.9834781
DRZ24,OUT013,1882.252418
NCQ38,OUT046,1706.452546
FDO16,OUT027,2243.336936
FDU07,OUT027,3800.965948
NCB07,OUT013,3164.61443
FDU48,OUT045,1926.453499
NCM43,OUT045,2512.104036
FDR31,OUT010,318.6521261
DRK49,OUT018,595.799161
NCI30,OUT010,586.3814724
DRD60,OUT017,3113.095861
NCG19,OUT046,3102.035224
FDH12,OUT035,1568.63819
FDM32,OUT035,1380.677173
FDM27,OUT035,2525.937392
NCU53,OUT027,4199.637505
NCQ18,OUT046,1540.405461
FDS10,OUT013,3079.142077
FDB33,OUT027,4234.445901
FDI12,OUT013,1428.931408
NCW42,OUT013,3520.748179
NCC06,OUT018,1876.873746
FDW02,OUT017,2052.822635
NCD43,OUT017,1626.194573
FDM57,OUT018,1240.098469
FDA58,OUT017,4525.411613
FDK56,OUT046,3182.270286
FDP52,OUT045,3779.397717
FDW20,OUT018,1783.431541
FDS52,OUT049,1704.180812
NCT29,OUT018,1717.981197
NCL54,OUT013,2990.389679
FDC05,OUT045,3057.863126
FDF34,OUT035,3214.726699
FDP03,OUT027,3160.832516
FDD32,OUT010,184.2950512
FDZ10,OUT045,1894.728381
FDZ40,OUT035,780.2171346
FDD51,OUT018,595.829368
NCY30,OUT019,338.6652542
FDP58,OUT017,4349.997923
FDV49,OUT017,4671.849638
FDY24,OUT019,140.9776723
NCO55,OUT017,1657.437809
FDR13,OUT017,1903.229735
FDS51,OUT017,875.6238958
FDP26,OUT045,1532.561706
NCB54,OUT027,2595.115007
FDF32,OUT017,3525.370885
FDN31,OUT018,3012.492447
DRM48,OUT017,634.0567266
FDN20,OUT049,2970.692781
DRL01,OUT046,3413.390598
FDV56,OUT049,1889.253579
DRH13,OUT027,2847.756568
FDA03,OUT017,2366.532547
FDF47,OUT027,5446.307904
FDX32,OUT046,2371.735728
FDX57,OUT049,1676.66082
NCA30,OUT045,2649.458167
FDO49,OUT013,770.5235065
FDL04,OUT019,198.0493163
DRM48,OUT035,631.8333737
FDR16,OUT013,3309.29394
NCC19,OUT018,2728.977788
NCE42,OUT045,3311.89504
FDY24,OUT017,807.2115971
FDH19,OUT049,3021.844185
FDJ46,OUT013,2923.341381
FDN45,OUT010,490.5922775
FDY08,OUT035,2149.062597
FDZ37,OUT035,1425.317357
NCT30,OUT045,722.0779097
DRY23,OUT018,606.7814887
NCZ30,OUT018,1735.241351
FDC44,OUT018,1581.580017
FDB45,OUT035,1568.597517
FDY04,OUT013,2723.113517
FDM27,OUT046,2590.631325
FDZ43,OUT017,4610.233785
FDT39,OUT019,425.2966748
NCC06,OUT019,245.7448405
FDL15,OUT027,4057.474849
FDL57,OUT017,4686.841511
FDU08,OUT046,1579.597053
FDK40,OUT017,4705.776627
FDQ12,OUT010,616.8206011
FDS48,OUT017,2384.40567
FDP09,OUT045,3252.671549
FDW21,OUT049,1783.156732
FDY25,OUT035,3007.210938
DRE13,OUT017,1319.476433
FDV43,OUT019,140.5187554
FDD22,OUT045,1645.122146
FDM46,OUT019,221.9241543
NCO30,OUT010,419.8647101
FDM25,OUT046,3066.225749
NCN41,OUT049,2092.750474
FDU24,OUT045,1474.745718
FDZ50,OUT046,3184.761226
FDP45,OUT013,4244.0387
NCM54,OUT045,1864.826034
FDW10,OUT019,301.1595591
FDP20,OUT017,2008.580039
FDK32,OUT046,2517.178625
FDN52,OUT049,1490.449758
FDM58,OUT045,1749.183676
FDZ46,OUT027,2900.559834
NCA18,OUT018,1669.566728
FDD35,OUT046,1968.917146
NCK31,OUT035,754.0032631
FDI40,OUT027,2573.31631
FDT50,OUT019,274.4889934
NCT06,OUT046,2757.750473
FDT31,OUT035,2805.409463
FDT45,OUT049,840.9707848
FDT13,OUT045,2623.311824
FDO50,OUT045,1342.360529
NCU18,OUT010,265.3366822
NCR54,OUT049,3183.434237
NCO18,OUT018,2580.421183
FDU09,OUT045,829.7369009
FDT13,OUT018,2878.045085
FDE09,OUT046,1802.800004
NCK53,OUT019,251.096215
FDG45,OUT049,3507.297881
DRH15,OUT035,693.0816543
FDO21,OUT019,638.107522
FDD14,OUT027,5088.374692
FDC09,OUT046,1727.706598
FDH45,OUT027,1281.823105
FDV32,OUT046,913.4686051
FDG12,OUT035,1920.38445
FDS32,OUT013,2211.902386
NCL55,OUT018,3285.334656
DRE01,OUT035,4265.459628
DRE15,OUT049,1322.609333
NCL42,OUT045,3503.0018
FDP31,OUT013,890.5408352
FDN33,OUT018,1352.42955
FDZ59,OUT046,2801.283367
FDE45,OUT010,385.2828682
FDJ07,OUT013,1898.536692
FDQ45,OUT018,2470.67233
FDM33,OUT027,5673.197767
FDO15,OUT010,180.1125403
FDM46,OUT013,1401.078247
FDR03,OUT045,3450.792867
FDY49,OUT018,2564.164957
FDQ60,OUT045,1873.122022
FDW10,OUT049,2879.070926
FDO51,OUT049,777.4192172
FDJ40,OUT018,1610.097312
FDS20,OUT018,2819.152256
FDU45,OUT013,1882.304856
FDV02,OUT035,2747.674499
FDN09,OUT046,3851.856883
NCM55,OUT027,4204.639761
FDN23,OUT018,1997.125753
FDY31,OUT010,282.1777455
FDW03,OUT010,260.7283266
FDD14,OUT046,2563.771347
FDV23,OUT017,1949.587093
DRI03,OUT045,2795.133216
FDN13,OUT035,1468.888945
FDF45,OUT027,1623.404068
FDU46,OUT035,1437.51063
FDB57,OUT049,3505.502025
FDV12,OUT049,1717.879915
FDQ58,OUT013,2393.879638
NCA18,OUT017,1808.2844
FDH52,OUT049,952.7199388
FDM24,OUT018,2099.260153
NCP43,OUT027,4618.647914
NCO18,OUT019,371.6095521
FDM32,OUT017,1403.350246
NCL07,OUT017,676.2479158
FDK03,OUT013,4244.752035
FDP59,OUT017,1668.826598
FDQ24,OUT049,4028.642808
FDQ16,OUT018,1548.504066
FDU44,OUT013,2627.876324
FDH28,OUT010,88.82442612
FDV28,OUT019,129.4299593
FDM22,OUT045,818.1109238
FDR56,OUT046,3124.110061
FDV39,OUT049,3459.565749
FDU37,OUT019,241.7593789
FDQ11,OUT010,740.156332
FDX02,OUT045,3464.905839
NCS42,OUT018,1308.551085
FDY57,OUT027,2512.817579
FDB21,OUT049,4037.205102
FDE28,OUT017,4652.194276
FDQ55,OUT017,1855.316773
FDA48,OUT049,3563.362982
FDZ19,OUT045,2787.306857
NCC43,OUT045,3868.872505
NCV18,OUT046,1327.591406
NCA42,OUT018,2269.8044
FDY45,OUT046,3931.247432
NCC30,OUT045,2497.063128
FDM57,OUT013,1434.15798
FDL09,OUT010,343.3865553
FDB09,OUT027,3408.582426
FDT44,OUT035,1788.980866
NCT06,OUT027,4437.875433
FDX26,OUT049,3072.96406
FDK32,OUT013,2475.811419
DRA12,OUT046,2258.680003
FDO46,OUT010,492.3423493
FDE52,OUT013,1492.555955
NCH42,OUT045,3544.79517
FDV08,OUT035,679.0534132
FDB47,OUT018,2953.657389
FDC28,OUT010,216.668342
FDD22,OUT046,1793.935912
FDS07,OUT027,3053.562041
DRI13,OUT045,3366.246571
FDG32,OUT018,3402.15094
FDU14,OUT017,4384.410872
FDD28,OUT019,150.3633206
NCP41,OUT017,1712.656259
FDS08,OUT049,3100.067976
FDX47,OUT045,2512.8399
FDC53,OUT019,258.0193074
FDQ19,OUT035,4046.830944
FDL14,OUT045,2466.169732
FDM33,OUT019,477.9551576
FDA51,OUT045,1772.623661
FDZ27,OUT018,642.7591162
FDT04,OUT046,685.8490545
DRC13,OUT049,2217.610777
FDR16,OUT027,4981.019256
FDQ03,OUT027,5833.415196
FDE38,OUT035,2684.402269
DRH23,OUT027,1462.589474
FDT11,OUT019,483.1333633
FDD09,OUT035,2958.576403
FDR40,OUT045,1352.736687
FDX07,OUT017,3290.932079
FDR07,OUT035,1446.548582
FDA51,OUT017,1817.759834
FDT59,OUT019,579.4376256
FDF20,OUT017,3464.140745
FDR13,OUT045,1819.116353
FDY26,OUT049,3251.21661
FDW04,OUT017,2134.402088
FDK52,OUT017,4231.294889
FDN60,OUT049,2618.497415
FDM09,OUT019,392.4636734
FDP46,OUT049,1440.772476
FDB50,OUT019,189.4633389
NCQ29,OUT049,4300.432831
FDP16,OUT027,6410.453051
FDX33,OUT018,2359.434221
FDP07,OUT010,438.0386891
FDN22,OUT046,3573.639948
FDF39,OUT049,4494.676936
FDS21,OUT017,918.8195907
NCM42,OUT013,1745.164983
FDK50,OUT019,386.2194854
DRF13,OUT027,3772.006058
FDH35,OUT018,2460.875565
FDP60,OUT018,1395.254945
DRJ49,OUT027,3363.215041
NCT42,OUT019,373.231844
FDE38,OUT049,2918.390094
FDI04,OUT049,3457.040128
NCH54,OUT045,2445.802216
FDT56,OUT049,913.2226127
DRD15,OUT018,3232.493102
FDV58,OUT013,3054.458197
FDP21,OUT049,3437.662329
FDH05,OUT013,3723.919432
FDR10,OUT027,4389.045511
NCP06,OUT045,2278.605301
FDF33,OUT049,1800.096195
DRK37,OUT013,3213.449587
DRH49,OUT045,1260.026001
FDT58,OUT013,2738.920506
FDD41,OUT018,1513.155689
FDP40,OUT018,1607.230088
FDM51,OUT027,2710.65256
FDO45,OUT010,198.8494557
FDW33,OUT010,198.8983898
FDY24,OUT045,778.7891442
FDB10,OUT010,652.154425
FDM40,OUT035,2106.722948
NCI06,OUT017,3084.719521
FDW12,OUT019,385.7330842
FDX48,OUT027,3999.720915
NCW05,OUT027,2841.106202
FDX27,OUT017,1539.638374
DRM37,OUT045,2776.125769
FDA38,OUT045,3763.921864
FDR36,OUT046,699.0527396
FDZ45,OUT046,3159.48949
FDG05,OUT017,2598.372691
FDK28,OUT013,4507.691582
FDV47,OUT045,1276.772229
FDN21,OUT045,2495.109647
FDP20,OUT027,3514.337088
FDI35,OUT045,2680.600521
DRY23,OUT013,695.9284338
FDA56,OUT017,1910.811311
FDB09,OUT013,1968.313465
NCO26,OUT027,3050.495254
FDQ49,OUT018,2375.165255
FDI52,OUT027,3300.898314
FDZ44,OUT027,3098.577296
FDZ09,OUT018,2465.182963
FDY03,OUT049,1945.682411
NCG42,OUT017,2065.429879
DRI13,OUT027,5949.664587
FDQ32,OUT013,2107.770742
FDW16,OUT035,1475.492845
FDU27,OUT046,752.8128881
FDR28,OUT010,369.4646571
FDQ49,OUT010,335.5237209
FDS37,OUT046,1868.021655
FDW26,OUT018,2955.014865
FDX12,OUT018,3201.586746
NCP06,OUT013,2406.866555
FDW45,OUT010,265.5094962
NCN30,OUT049,1616.916588
FDN24,OUT049,823.1244033
NCL41,OUT027,1160.136238
FDR02,OUT019,236.5530699
FDD09,OUT010,398.6022105
FDS33,OUT010,201.8300568
FDU22,OUT045,1769.585122
FDI53,OUT013,2585.341848
DRH01,OUT049,3011.46234
FDX32,OUT013,2205.333299
NCP30,OUT018,599.0385616
FDB60,OUT045,2769.247006
FDB14,OUT049,1580.243087
NCP02,OUT035,822.0568604
FDJ10,OUT017,2129.872298
FDG34,OUT046,1869.641838
NCB18,OUT017,1378.509976
FDM16,OUT049,1377.823884
FDW25,OUT018,1178.307066
FDB35,OUT010,203.7741878
DRN11,OUT013,2103.712486
FDF41,OUT019,558.238687
FDH16,OUT045,1314.339419
NCQ50,OUT018,2928.241085
DRH23,OUT018,685.7367311
DRJ37,OUT013,2387.670231
DRJ24,OUT027,5078.973168
FDY16,OUT035,3209.153082
FDQ27,OUT045,1672.027937
FDZ33,OUT045,2233.402371
FDF29,OUT045,2082.255337
FDA08,OUT049,2834.348226
FDG31,OUT046,934.3669044
FDE34,OUT019,380.3728303
NCR30,OUT027,2090.584878
FDV33,OUT035,4324.374506
DRZ24,OUT018,1691.190559
NCL54,OUT035,2838.719114
FDR12,OUT049,3098.064245
NCC54,OUT046,3483.785865
DRN59,OUT013,714.3644941
FDX50,OUT019,207.8413339
FDV31,OUT027,4805.213022
NCA29,OUT027,4559.267196
FDW60,OUT049,3166.04629
FDX08,OUT017,3133.565785
DRD49,OUT013,3850.986504
FDD33,OUT046,3506.499371
FDW35,OUT013,694.9378607
FDJ36,OUT017,1652.399103
FDV51,OUT035,2677.20222
FDW36,OUT046,1688.630751
FDH35,OUT046,2716.500648
NCS30,OUT027,2657.404967
FDN49,OUT017,676.7192848
FDL08,OUT018,3389.990874
FDI09,OUT013,3554.798707
FDP19,OUT018,1848.18575
FDU21,OUT010,86.83571585
NCP41,OUT045,1605.254549
FDY10,OUT013,1776.879478
FDP12,OUT018,581.7933029
NCN26,OUT049,1998.535807
FDK44,OUT013,2895.131177
FDC28,OUT049,1823.642544
FDJ41,OUT027,6631.087209
NCT29,OUT035,1892.676999
NCH42,OUT019,643.1147784
FDU60,OUT018,2611.391647
FDS02,OUT045,3204.162697
FDC51,OUT046,2107.117636
FDU03,OUT013,3146.21158
FDX39,OUT045,3602.384213
NCY05,OUT010,87.0044097
NCL06,OUT027,5994.204716
FDD32,OUT035,1325.719514
NCN41,OUT045,1831.668717
NCX53,OUT049,2341.064039
FDU57,OUT019,371.9309007
FDQ23,OUT046,1667.805358
FDQ52,OUT045,3753.982773
FDC14,OUT045,696.1941521
FDY09,OUT035,2910.964554
FDQ28,OUT045,2522.560586
FDV25,OUT046,3895.534718
FDJ07,OUT035,1757.998001
DRB25,OUT049,1749.830889
FDK52,OUT019,468.7171831
FDY52,OUT027,1623.440261
FDB28,OUT046,3408.785696
FDT36,OUT035,623.4060533
FDV25,OUT017,4308.523311
NCN07,OUT027,3575.564583
FDC57,OUT017,3557.070824
FDQ03,OUT018,3190.605791
FDU23,OUT017,2747.019924
NCX41,OUT035,3459.940935
NCD06,OUT035,723.609551
FDW08,OUT045,1559.646273
NCU29,OUT017,2238.601902
NCE06,OUT013,2586.943111
FDV52,OUT010,229.3731333
FDB02,OUT017,3037.17686
NCR18,OUT045,699.4707755
FDK16,OUT049,1522.658618
NCQ29,OUT010,689.14063
FDZ01,OUT019,301.9806198
FDW27,OUT035,2505.282148
FDD17,OUT018,3119.619398
FDW39,OUT013,2982.777457
DRH59,OUT045,1122.134314
FDS52,OUT013,1632.088945
FDU40,OUT027,5550.350718
NCF54,OUT013,2942.551084
FDH46,OUT045,1636.132507
NCP14,OUT049,1725.218389
FDH50,OUT049,3147.270797
DRF15,OUT010,289.9385348
FDV27,OUT027,2307.52618
NCJ06,OUT049,2042.079238
FDN02,OUT018,3134.732298
FDQ51,OUT049,812.7271411
FDQ07,OUT017,4442.509087
FDS45,OUT049,1866.084027
NCJ06,OUT045,1795.878264
FDD36,OUT035,1772.012153
FDY25,OUT045,2708.851673
FDU52,OUT046,2526.753976
DRK47,OUT017,4377.269053
NCL30,OUT017,2036.773689
FDN22,OUT035,4403.769952
NCF30,OUT027,3401.963988
FDK03,OUT035,4411.046767
FDT45,OUT017,810.0784606
NCC54,OUT027,6024.541096
FDP08,OUT018,3151.768033
FDU44,OUT046,2804.005772
DRG39,OUT035,776.4985538
FDU32,OUT049,2082.039047
FDY27,OUT049,3208.664459
NCP54,OUT013,2003.43395
NCZ41,OUT049,2145.310348
DRL49,OUT013,2204.714871
FDI05,OUT018,1143.789581
FDY56,OUT045,3760.437683
DRC13,OUT013,1981.125414
NCV29,OUT017,3053.566582
FDR24,OUT049,1544.562213
FDZ34,OUT018,2944.232233
FDP37,OUT035,1918.030977
FDX08,OUT027,4943.821607
FDS57,OUT045,2095.641165
NCG18,OUT049,1746.884455
FDK25,OUT018,2563.540996
FDH53,OUT049,1445.835439
DRI59,OUT018,3031.656652
FDA52,OUT046,2893.26181
FDT20,OUT010,87.35621434
FDE36,OUT019,447.4128622
FDI24,OUT017,2921.383299
FDB28,OUT018,3037.102994
FDV11,OUT017,3035.666755
FDP01,OUT046,2573.633296
FDD34,OUT027,4191.162005
FDJ50,OUT027,1432.733513
FDZ44,OUT013,1896.883836
DRO59,OUT035,1173.402592
DRB48,OUT045,692.83319
FDR21,OUT018,2734.256236
NCE42,OUT010,576.7128117
FDO23,OUT046,1405.555384
NCE30,OUT018,3038.592257
FDQ22,OUT035,653.9059778
FDY01,OUT045,1807.772821
FDS08,OUT017,2974.639964
FDG28,OUT018,2998.268423
FDQ51,OUT018,680.946822
FDB05,OUT017,4684.607875
FDO56,OUT049,2047.634369
FDE02,OUT018,1265.340001
FDN45,OUT017,4226.959009
FDS09,OUT013,751.1173609
NCA54,OUT018,2689.597886
FDP09,OUT010,505.4922479
FDC53,OUT045,1470.667583
NCM55,OUT017,3251.682357
FDL09,OUT018,2655.727038
FDA11,OUT019,255.9293237
FDA50,OUT045,1389.472165
FDC23,OUT017,3064.436706
FDE22,OUT049,2712.882414
FDD23,OUT046,3401.845619
NCA29,OUT049,3077.679465
FDK38,OUT046,2351.011508
DRC13,OUT046,2076.999843
NCP43,OUT049,3083.508512
FDX28,OUT049,1612.127057
FDF08,OUT049,1563.939975
FDZ33,OUT046,2359.153927
FDD10,OUT049,3021.938225
FDO58,OUT017,2658.753164
FDI50,OUT017,4337.751363
FDO58,OUT045,2551.041031
FDX08,OUT013,3119.479859
NCK17,OUT010,90.58166729
FDF39,OUT035,4336.910772
FDU45,OUT010,244.0120669
NCJ18,OUT018,1668.554365
DRC27,OUT019,593.5579681
DRC25,OUT035,1296.160013
FDU59,OUT035,2514.666736
FDU28,OUT035,3240.538853
NCP30,OUT046,715.5950106
FDB39,OUT018,696.420874
FDE41,OUT013,1466.536918
DRH11,OUT010,99.3845183
FDA58,OUT045,3793.225526
FDU50,OUT046,1945.285288
FDM34,OUT013,2077.278229
FDM44,OUT027,2746.445815
FDR39,OUT045,2625.904029
FDM25,OUT045,2927.12449
FDQ49,OUT049,2705.472293
DRH25,OUT018,685.4020157
FDM09,OUT027,4365.630151
FDL44,OUT019,321.9890827
NCR42,OUT018,542.4553034
DRL59,OUT046,809.7192522
FDX43,OUT013,2754.342642
DRK47,OUT010,624.6780689
FDU48,OUT018,1913.86263
FDY12,OUT045,754.4261916
NCN43,OUT018,1765.472055
NCM55,OUT018,2782.983532
FDQ21,OUT027,3416.264476
FDX13,OUT035,4159.06359
NCK30,OUT027,6659.518522
FDG20,OUT049,3080.424243
DRG27,OUT017,664.3841798
FDY14,OUT018,3683.664925
FDP59,OUT035,1648.219836
FDU60,OUT017,2930.895519
NCC18,OUT019,272.1873763
DRJ39,OUT017,4026.666972
FDS07,OUT049,1861.796436
FDM08,OUT027,5454.538214
FDP51,OUT045,1901.572464
FDU16,OUT035,1346.284533
FDH12,OUT013,1668.734282
DRE48,OUT010,473.7102428
NCL42,OUT027,6357.904085
